Institution,Latitude,Longitude,City,Country,Address,Description,Grantees Hosted,Years Active,Example Project Titles
INRIA Paris,48.826369,2.346437,Paris,FR,"48 Rue Barrault, 75013 Paris, France","INRIA Paris is located in Paris, France. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on respiratory & pulmonary.",1,2013,Whole Lung Particle Deposition in Healthy and Emphysematous Rats
"IRPHE (Institut de Recherche sur les Phenomenes Hors Equilibre), CNRS",43.3462214,5.4343154,Marseille,FR,"49 Rue Frederic Joliot Curie, 13013 Marseille, France","IRPHE (Institut de Recherche sur les Phenomenes Hors Equilibre), CNRS is located in Marseille, France. It has hosted 1 Whitaker International fellow (2008). Whitaker fellows here have worked on cardiovascular engineering and computational modeling & systems biology.",1,2008,Thrombus and Abdominal Aortic Aneurysm Remodeling
Institut Albert Bonniot (IAB),45.1981677,5.7478968,Grenoble,FR,"Site Sante, Allee des Alpes, 38700 La Tronche, France","Institut Albert Bonniot (IAB) is located in Grenoble, France. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on fluid dynamics & cardiovascular flow.",1,2015,Control of angiogenic program by extracellular matrix mechanics and flow in endothelial cells
Institut Montpellierain Alexander Grothendieck (IMAG),43.6310235,3.8657395,Montpellier,FR,"499-554 Rue du Truel, 34090 Montpellier, France","Institut Montpellierain Alexander Grothendieck (IMAG) is located in Montpellier, France. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked across cardiovascular engineering, auditory & hearing research, and fluid dynamics & cardiovascular flow.",1,2015,Quantification and Optimization of Total Artificial Heart Hemodynamics
Institut Pasteur,48.8407745,2.3108918,Paris,FR,"25-28 Rue du Dr Roux, 75015 Paris, France","Institut Pasteur is located in Paris, France. It has hosted 1 Whitaker International fellow (2007). Whitaker fellows here have worked on computational modeling & systems biology.",1,2007,Modeling negative signaling via the FcgRIIB antigen-antibody complex receptor
"LabTAU, INSERM / Universite Lyon 1",45.7440185,4.8763775,Lyon,FR,"151 Cours Albert Thomas, 69003 Lyon, France","LabTAU, INSERM / Universite Lyon 1 is located in Lyon, France. It has hosted 1 Whitaker International fellow (2015). Fellows have been hosted within the Laboratory of Therapeutic Ultrasound. Whitaker fellows here have worked on cancer & tumor biology and biomedical imaging.",1,2015,Dual-mode ultrasound transducers for image-guided ultrasound focal therapies of localized tumors
Mines Saint-Etienne,45.4225457,4.408427,Saint-Etienne,FR,"158 Cours Fauriel, 42100 Saint-Etienne, France","Mines Saint-Etienne is located in Saint-Etienne, France. It has hosted 3 Whitaker International fellows between 2013 and 2016. Whitaker fellows here have worked across cardiovascular engineering, neural engineering & neuroscience, and biomedical imaging.",3,2013–2016,Characterization of the residual stress and damage response of ascending thoracic aortic aneurysms | Determining Cohesive Zone Parameters of Human Atherosclerotic Plaques in the Carotid Artery | Fluorofluid Modified Organic Electronics for Incognito Neural Probes
"Mines Saint-Etienne, Centre Microelectronique de Provence",43.4448144,5.4797359,Gardanne,FR,"880 Route de Mimet, 13120 Gardanne, France","Mines Saint-Etienne, Centre Microelectronique de Provence is located in Gardanne, France. It has hosted 1 Whitaker International fellow (2015). Fellows have been hosted within the Department of Bioelectronics. Whitaker fellows here have worked across neural engineering & neuroscience, biomedical imaging, and medical devices & implants.",1,2015,Organic Electronic Ion Pumps for in vivo Treatment of Neurological Disorders
Sorbonne Universite (formerly Pierre et Marie Curie),48.8471036,2.357499,Paris,FR,"4 Place Jussieu, 75005 Paris, France","Sorbonne Universite (formerly Pierre et Marie Curie) is located in Paris, France. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on neural engineering & neuroscience and biomedical imaging.",1,2014,Multimodal Imaging of Neural Recovery after Severe Traumatic Brain Injury
Universite Paris Descartes (now Universite Paris Cite),48.8513741,2.3405737,Paris,FR,"12 Rue de l'Ecole de Medecine, 75006 Paris, France","Universite Paris Descartes (now Universite Paris Cite) is located in Paris, France. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked on biomedical imaging and mechanobiology & cell mechanics.",1,2010,Mechanotransduction in Chondrocytes and Intervertebral Discs In Vitro
University of Bordeaux (formerly Bordeaux Segalen),44.8312889,-0.5710013,Bordeaux,FR,"3ter Place de la Victoire, 33000 Bordeaux, France","University of Bordeaux (formerly Bordeaux Segalen) is located in Bordeaux, France. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on cardiovascular engineering.",1,2013,Tracking the 3D dynamics of atrial fibrillation and defibrillation patterns
Babraham Institute,52.132509,0.2056681,Cambridge,GB,"Babraham, Cambridge CB22 3AT, UK","Babraham Institute is located in Cambridge, United Kingdom. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on cardiovascular engineering and auditory & hearing research.",1,2012,Calcium Signalling and Hypertrophic Heart Disease: Decoding a 3D Cellular Signalling Pathway
Cancer Research UK Beatson Institute,55.9058064,-4.3228734,Glasgow,GB,"Switchback Rd, Bearsden, Glasgow G61 1BD, UK","Cancer Research UK Beatson Institute is located in Glasgow, United Kingdom. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked on cancer & tumor biology and biomedical imaging.",1,2014,The Effect of Extracellular Matrix Rigidity on EGFR Trafficking in Breast Cancer
Cancer Research UK Cambridge Institute,52.176951,0.135566,Cambridge,GB,"Li Ka Shing Centre, Robinson Way, Cambridge CB2 0RE, UK","Cancer Research UK Cambridge Institute is located in Cambridge, United Kingdom. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on cancer & tumor biology.",1,2013,Role of different substrates on centrosome number in patient-derived cancer cells
Cardiff University,51.4876561,-3.179115,Cardiff,GB,"Park Pl, Cardiff CF10 3AT, UK","Cardiff University is located in Cardiff, United Kingdom. It has hosted 1 Whitaker International fellow (2014). Whitaker fellows here have worked across biomedical imaging, computational modeling & systems biology, and ophthalmology & vision research.",1,2014,"Towards an accurate, microstructure-based numerical model of the human eye"
Edinburgh Genomics / University of Edinburgh,55.9445158,-3.1892413,Edinburgh,GB,"Old College, South Bridge, Edinburgh EH8 9YL, UK","Edinburgh Genomics / University of Edinburgh is located in Edinburgh, United Kingdom. It has hosted 1 Whitaker International fellow (2007). Whitaker fellows here have worked on biomedical imaging.",1,2007,An integrated approach to immune pathways via microarrays and novel imaging techniques
Foundation for International Education,51.4950434,-0.1846989,London,GB,"114 Cromwell Rd, South Kensington, London SW7 4ES, UK","Foundation for International Education is located in London, United Kingdom. It has hosted 1 Whitaker International fellow (2012).",1,2012,
"Gatsby Computational Neuroscience Unit, UCL",51.5210838,-0.1383211,London,GB,"25 Howland St, London W1T 4JG, UK","Gatsby Computational Neuroscience Unit, UCL is located in London, United Kingdom. It has hosted 1 Whitaker International fellow (2013). Fellows have been hosted within the Gatsby Computational Neuroscience Unit. Whitaker fellows here have worked across neural engineering & neuroscience, medical devices & implants, rehabilitation & assistive technology, and computational modeling & systems biology.",1,2013,Development of Machine Learning Expertise in and for Neuroprosthetic Applications
Imperial College London,51.4989575,-0.1790666,London,GB,"South Kensington Campus, London SW7 2AZ, UK","A flagship UK science-and-engineering university whose Department of Bioengineering is one of the largest and most active in Europe, and the single most-frequent Whitaker host institution worldwide. It has hosted 43 Whitaker International fellows between 2005 and 2017. Hosting units have included the Department of Bioengineering, and the Harefield Heart Science Centre. Whitaker fellows here have worked across orthopedics & biomechanics, tissue engineering & regenerative medicine, cardiovascular engineering, and biomedical imaging.",43,2005–2017,3D Confocal Raman Spectroscopy to Characterize Cell-Material Interface for Nanoneedle Injection | A Biomaterial Approach to Endogenous MMP Regulation in the Infarcted Heart | A Functional Tissue Engineering Approach to Recapitulating the Mechanics of Articular Cartilage
Institute of Cancer Research (ICR),51.3443537,-0.1891973,London,GB,"Chester Beatty Laboratories, London / Sutton SM2 5NG, UK","Institute of Cancer Research (ICR) is located in London, United Kingdom. It has hosted 2 Whitaker International fellows between 2009 and 2013. Whitaker fellows here have worked across biomedical imaging, cancer & tumor biology, orthopedics & biomechanics, and biosensors & microfluidics.",2,2009–2013,The Detection and Analysis of Bone Tumors Using Image Registration | Ultrasound Guidance of Intensity Modulated Radiation Therapy
King's College London,51.5114864,-0.115997,London,GB,"Strand, London WC2R 2LS, UK","A central London research university with deep biomedical engineering activity, particularly in medical imaging and cardiovascular engineering, drawing on partnerships with major NHS hospitals. It has hosted 5 Whitaker International fellows between 2012 and 2016. Whitaker fellows here have worked across biomedical imaging, orthopedics & biomechanics, tissue engineering & regenerative medicine, and mechanobiology & cell mechanics.",5,2012–2016,"Bone repair by targeting intracellular protein metabolism | Combined effects of 3D mechanobiology, ligand presentation in MSC osteochondral differentiation | Development of Multimodal Imaging Probes for Diagnosis of Alzhiemer`s Disease"
London School of Hygiene & Tropical Medicine (LSHTM),51.5206464,-0.1299705,London,GB,"Keppel St, London WC1E 7HT, UK","London School of Hygiene & Tropical Medicine (LSHTM) is located in London, United Kingdom. It has hosted 2 Whitaker International fellows between 2016 and 2017. Whitaker fellows here have worked across biomedical imaging, global & resource-limited health, and microbiology & infectious disease.",2,2016–2017,"Multiplex, high-throughput arrays to profile seroreactivity to vaccine and pathogen antigens | Optimizing endectocides to mitigate resistance development and improve sustainable malaria control"
"MRC Cancer Unit, University of Cambridge",52.176951,0.135566,Cambridge,GB,"Hutchison/MRC Research Centre, Cambridge CB2 0XZ, UK","MRC Cancer Unit, University of Cambridge is located in Cambridge, United Kingdom. It has hosted 1 Whitaker International fellow (2017). Fellows have been hosted within the MRC Cancer Unit. Whitaker fellows here have worked on cancer & tumor biology and biosensors & microfluidics.",1,2017,Engineering a Microfluidic System to Live Image Tumor-Draining Lymph Node Transformation
Queen Mary University of London,51.5237113,-0.040729,London,GB,"327 Mile End Rd, London E1 4NS, UK","A research-intensive University of London college whose School of Engineering and Materials Science has strong activity in biomaterials, tissue engineering, and biomechanics. It has hosted 4 Whitaker International fellows between 2006 and 2014. Whitaker fellows here have worked across cardiovascular engineering, orthopedics & biomechanics, and computational modeling & systems biology.",4,2006–2014,Arterial Elasticity: Histological and Histochemical Analysis | Biomechanical Modeling of the Multilayered Carotid Artery Wall | Mechano-modulation of a Ca2+ signalling pathway controls chondrocyte response to mechanical loading
"Roslin Institute, University of Edinburgh",55.8656957,-3.1985786,Edinburgh,GB,"Easter Bush Campus, Midlothian EH25 9RG, UK","Roslin Institute, University of Edinburgh is located in Edinburgh, United Kingdom. It has hosted 1 Whitaker International fellow (2014). Fellows have been hosted within the Roslin Institute. Whitaker fellows here have worked on orthopedics & biomechanics.",1,2014,The Biomechanical Role of Cilia in Angiogenesis Using Novel Avian Transgenic Technologies
Royal Veterinary College,51.5368255,-0.1340029,London,GB,"4 Royal College St, London NW1 0TU, UK","Royal Veterinary College is located in London, United Kingdom. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on biomedical imaging.",1,2012,Muscle Architecture Constraints Imposed by the Sit-to-Stand Transition in Vertebrates.
University College London (UCL),51.5245592,-0.1340401,London,GB,"Gower St, London WC1E 6BT, UK","One of London's largest research universities, with strengths spanning the Gatsby Computational Neuroscience Unit, biomedical imaging, and clinical translational engineering at affiliated hospitals. It has hosted 7 Whitaker International fellows between 2006 and 2013. Whitaker fellows here have worked across cardiovascular engineering, tissue engineering & regenerative medicine, drug delivery & nanomedicine, and cancer & tumor biology.",7,2006–2013,Cancer MSc and Drug-Conjugated-Nanoparticles for Hematopoietic Stem Cell Transplants | Course work in Biochemical Engineering to facilitate future research in Tissue Engineering | Evolution and engineering of transketolase
University of Bristol,51.4585376,-2.6021758,Bristol,GB,"Beacon House, Queens Rd, Bristol BS8 1QU, UK","University of Bristol is located in Bristol, United Kingdom. It has hosted 1 Whitaker International fellow (2013).",1,2013,Foreign Body Response in Zebrafish
University of Cambridge,52.205356,0.113168,Cambridge,GB,"The Old Schools, Trinity Lane, Cambridge CB2 1TN, UK","One of the world's oldest and most distinguished research universities, with a sprawling biomedical campus that includes the Cambridge Stem Cell Institute, the MRC Cancer Unit, and the Cancer Research UK Cambridge Institute. It has hosted 21 Whitaker International fellows between 2006 and 2017. Whitaker fellows here have worked across neural engineering & neuroscience, cancer & tumor biology, biomedical imaging, and orthopedics & biomechanics.",21,2006–2017,A Decentralized Optimal Control Framework for Human Motor Reflexes | An agarose microchamber device for high-resolution imaging and long-term culture of Caenorhabditis elegans. | Design of a Collapsible Descending-Aortic Micropump
University of Edinburgh,55.9445158,-3.1892413,Edinburgh,GB,"Old College, South Bridge, Edinburgh EH8 9YL, UK","A major UK research university whose biomedical research includes the famous Roslin Institute (animal biology, stem cells) and broad genomics, neuroscience, and informatics activity. It has hosted 1 Whitaker International fellow (2016).",1,2016,Human Alternatives to Animal Experimentation in Drug Induced Liver Injury
University of Glasgow,55.8721138,-4.2844102,Glasgow,GB,"University Ave, Glasgow G12 8QQ, UK","A Scottish research university whose biomedical engineering activity bridges neuroscience, biomechanics, and translational devices through the Scottish Microelectronics Centre and clinical partners. It has hosted 1 Whitaker International fellow (2011).",1,2011,
University of Liverpool,53.404504,-2.9651525,Liverpool,GB,"765 Brownlow Hill, Liverpool L69 7ZX, UK","A UK Russell Group university with biomedical engineering research spanning cardiovascular and orthopedic biomechanics, infection biology, and translational medicine. It has hosted 4 Whitaker International fellows between 2006 and 2010. Whitaker fellows here have worked across neural engineering & neuroscience, tissue engineering & regenerative medicine, biomedical imaging, and orthopedics & biomechanics.",4,2006–2010,Regulation of Neurogenesis by Transcription Factor Dynamics | Synthetic and Naturally Derived Scaffolds for Ligament Engineering
University of Nottingham,52.9387922,-1.1981057,Nottingham,GB,"University Park, Nottingham NG7 2RD, UK","A UK research university with established biomedical activity in imaging (MRI was pioneered here), pharmaceutical formulation, and bioengineering. It has hosted 4 Whitaker International fellows between 2007 and 2015. Whitaker fellows here have worked across neural engineering & neuroscience, biomedical imaging, and biosensors & microfluidics.",4,2007–2015,Development of a Novel Raman-Compatible Microfluidic TEER System | Nanoporous Magnesium Fluoride Substrate Use in Raman-Compatible Epithelial Cell Culture | Reconstructing and Understanding Cortical Dynamics from Multimodal Brain Imaging Methods
University of Oxford,51.7570429,-1.2545179,Oxford,GB,"Wellington Square, Oxford OX1 2JD, UK","Oxford's biomedical research is distributed across colleges, hospitals, and a network of MRC/Wellcome-funded institutes, with strong activity in medical imaging, infectious disease, and clinical bioengineering. It has hosted 18 Whitaker International fellows between 2006 and 2016. Whitaker fellows here have worked across orthopedics & biomechanics, biomedical imaging, cancer & tumor biology, and cardiovascular engineering.",18,2006–2016,3D/4D Ultrasound Imaging Modalities for Characterization of Fetal Growth and Development | A biomechanical analysis of patients with osteoarthritis versus healthy individuals | Cardiac Fluid Mechanics and Fluid-Solid Coupling in the Left Ventricle
University of Salford,53.4872326,-2.2737375,Salford,GB,"43 Crescent, Salford M5 4WT, UK","University of Salford is located in Salford, United Kingdom. It has hosted 2 Whitaker International fellows (all in 2006). Whitaker fellows here have worked on medical devices & implants and rehabilitation & assistive technology.",2,2006,User-Responsive Prosthetic for Lower Extremities
University of Sheffield,53.3813502,-1.4884229,Sheffield,GB,"Western Bank, Sheffield S10 2TN, UK","University of Sheffield is located in Sheffield, United Kingdom. It has hosted 1 Whitaker International fellow (2017). Whitaker fellows here have worked across orthopedics & biomechanics, biomedical imaging, biosensors & microfluidics, and computational modeling & systems biology.",1,2017,Developing Clinical Diagnostics: Fracture Prediction in Patients with Osteopenia via Comp. Models
University of Southampton,50.935742,-1.3966381,Southampton,GB,"University Rd, Southampton SO17 1BJ, UK","University of Southampton is located in Southampton, United Kingdom. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on biomedical imaging and medical devices & implants.",1,2012,Developing a novel 3-dimensional dielectrophoretic cell trapping device using electrodeposition
University of Strathclyde,55.8619473,-4.2423246,Glasgow,GB,"16 Richmond St, Glasgow G1 1XQ, UK","University of Strathclyde is located in Glasgow, United Kingdom. It has hosted 3 Whitaker International fellows between 2013 and 2016. Whitaker fellows here have worked across biomedical imaging, biosensors & microfluidics, and cardiovascular engineering.",3,2013–2016,Development and Optimization of SERS Biosensor for Cardiac Biomarkers Detection | Development of an Aptamer-based SERS Biosensor for Blood Carcinogen Detection | Tailoring glycoconjugates of a non-aggregating competitive assay for FRET based glucose sensing
University of Surrey,51.2431429,-0.5894664,Guildford,GB,"Stag Hill, Guildford GU2 7XH, UK","University of Surrey is located in Guildford, United Kingdom. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked across cancer & tumor biology, biomedical imaging, and biosensors & microfluidics.",1,2010,Cancer cell detection technique using dielectrophoersis
University of Warwick,52.3792525,-1.5614704,Coventry,GB,"Coventry CV4 7AL, UK","University of Warwick is located in Coventry, United Kingdom. It has hosted 1 Whitaker International fellow (2016).",1,2016,Synthesis of biodegradable shape memory polymers for advanced medical applications
Wellcome-MRC Cambridge Stem Cell Institute,52.1768302,0.1367731,Cambridge,GB,"Jeffrey Cheah Biomedical Centre, Cambridge CB2 0AW, UK","Wellcome-MRC Cambridge Stem Cell Institute is located in Cambridge, United Kingdom. It has hosted 1 Whitaker International fellow (2017). Fellows have been hosted within the Cambridge Stem Cell Institute. Whitaker fellows here have worked across tissue engineering & regenerative medicine, biomedical imaging, genomics & molecular biology, and auditory & hearing research.",1,2017,Nuclear LINC and Lamina Protein Complex Role in Mechanostransduction in Embryonic Stem Cells
Range of Motion Project (ROMP),14.5799211,-90.4851435,Guatemala City,GT,"1 Calle 25-62, Guatemala City 01015, Guatemala","Range of Motion Project (ROMP) is located in Guatemala City, Guatemala. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on rehabilitation & assistive technology and medical devices & implants.",1,2012,Evaluation of an Affordable Prosthetic Arm for Below-Elbow Amputees in Guatemala
Engineering World Health,14.0723,-87.1921,Tegucigalpa,HN,"Tegucigalpa, Honduras (EWH field office, Boston HQ)","Engineering World Health is located in Tegucigalpa, Honduras. It has hosted 1 Whitaker International fellow (2013).",1,2013,Promotion of Local Design through BME Education in Tegucigalpa
Emerging Pathogens Institute (Haiti field site),18.5237554,-72.555669,Gressier,HT,"Christianville Foundation, Gressier, Haiti","Emerging Pathogens Institute (Haiti field site) is located in Gressier, Haiti. It has hosted 1 Whitaker International fellow (2005). Whitaker fellows here have worked across biomedical imaging, biosensors & microfluidics, and medical devices & implants.",1,2005,Rapid quantitative paper analytical device for detection of cholera in water samples
"BioInnovate Ireland, University of Galway",53.2781504,-9.0602012,Galway,IE,"Block E, NUI Galway, University Rd, Galway, Ireland","BioInnovate Ireland, University of Galway is located in Galway, Ireland. It has hosted 2 Whitaker International fellows (all in 2013). Whitaker fellows here have worked on orthopedics & biomechanics and medical devices & implants.",2,2013,"BioInnovate Ireland Fellowship Programme | Immersion in Medical Device Design, Development, and Innovation"
Trinity College Dublin,53.3437935,-6.2545716,Dublin,IE,"College Green, Dublin 2, Ireland","Ireland's most prominent university, with biomedical engineering activity across cardiovascular tissue engineering, neural engineering, and medtech translation. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on tissue engineering & regenerative medicine and orthopedics & biomechanics.",1,2013,Tissue engineering a graded meniscal insertion using biochemical and biomechanical cues
University College Dublin (UCD),53.3097268,-6.2215897,Dublin,IE,"Belfield, Dublin 4, Ireland","University College Dublin (UCD) is located in Dublin, Ireland. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked across biomedical imaging, drug delivery & nanomedicine, biosensors & microfluidics, and auditory & hearing research.",1,2016,Early detection of Candida albicans biofilm formation with superparamagnetic nanoparticles
University of Galway (formerly NUI Galway),53.2799624,-9.0610224,Galway,IE,"University Rd, Galway, Ireland","Ireland's hub for medical device innovation, anchoring BioInnovate Ireland — a clinical-needs-driven medtech fellowship modeled on Stanford Biodesign — and a vibrant translational research community. It has hosted 7 Whitaker International fellows between 2012 and 2017. Whitaker fellows here have worked across cancer & tumor biology, tissue engineering & regenerative medicine, biomedical imaging, and orthopedics & biomechanics.",7,2012–2017,A Comprehensive Training in Innovative Medical Device Development | BioInnovation in Ireland: Mentoring Student Teams and Innovating Medical Device Technologies | Gene Therapy Functionalization of a Microphysiological Breast Cancer Tissue
Technion - Israel Institute of Technology,32.7767783,35.0231271,Haifa,IL,"Haifa 3200003, Israel","Israel's premier engineering university, with a Faculty of Biomedical Engineering that's been a launchpad for medtech startups and academic careers worldwide. It has hosted 2 Whitaker International fellows between 2010 and 2013. Whitaker fellows here have worked across tissue engineering & regenerative medicine, orthopedics & biomechanics, and rehabilitation & assistive technology.",2,2010–2013,Enhanced Musculoskeletal Rehabilitation Through an Improved Virtual Reality Rehabilitation System | PEG-Albumin Hydrogels for BMP-2 Delivery for Bone Regeneration
Tel Aviv University,32.113496,34.803609,Tel Aviv,IL,"Chaim Levanon St 55, Tel Aviv-Yafo 6997801, Israel","Tel Aviv University is located in Tel Aviv, Israel. It has hosted 2 Whitaker International fellows (all in 2010). Whitaker fellows here have worked across cardiovascular engineering, biomedical imaging, computational modeling & systems biology, and genomics & molecular biology.",2,2010,Metagenomic analysis of the gut microbiome through computational and experimental approaches | Optical-Thermal Characterization of Vascular Inflammation In Vivo
Weizmann Institute of Science,31.9037541,34.8080315,Rehovot,IL,"Herzl St 234, Rehovot, Israel","Weizmann Institute of Science is located in Rehovot, Israel. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked on cardiovascular engineering and biomedical imaging.",1,2010,MRI tracking of labeled satellite cells for cardiac repair after myocardial infarction in mice
All India Institute of Medical Sciences (AIIMS),28.5671937,77.2102608,New Delhi,IN,"Sri Aurobindo Marg, Ansari Nagar, New Delhi 110029, India","All India Institute of Medical Sciences (AIIMS) is located in New Delhi, India. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on medical devices & implants and respiratory & pulmonary.",1,2013,Low Cost Medical Device Development in Pulmonary Critical Care & Gastroenterology
Forus Health Pvt. Ltd.,12.9210039,77.5725687,Bengaluru,IN,"8 27th Cross, Banashankari 2nd Stage, Bengaluru 560070, India","Forus Health Pvt. Ltd. is located in Bengaluru, India. It has hosted 1 Whitaker International fellow (2012).",1,2012,A Low-Cost Ophthalmic Screening Tool For Infants
Stasis Labs,12.977781,77.637264,Bengaluru,IN,"549/A 9th A Main Rd, Indiranagar, Bengaluru 560038, India","Stasis Labs is located in Bengaluru, India. It has hosted 1 Whitaker International fellow (2016). Whitaker fellows here have worked on orthopedics & biomechanics and medical devices & implants.",1,2016,Internship in Industry: Clinical Trial of Vitals Monitoring Device in Indian Hospitals
Tata Memorial Centre,19.0048619,72.8429513,Mumbai,IN,"Dr Ernest Borges Rd, Parel, Mumbai 400012, India","Tata Memorial Centre is located in Mumbai, India. It has hosted 1 Whitaker International fellow (2007). Whitaker fellows here have worked on cancer & tumor biology and medical devices & implants.",1,2007,Optical based portable device for screening oral cancer
Dainese S.p.A.,45.7353696,11.6179754,Molvena,IT,"Via Louvigny 35, 36064 Colceresa (Molvena) VI, Italy","Dainese S.p.A. is located in Molvena, Italy. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on biomedical imaging.",1,2013,Preventing Injury With Pressure-Sensing Garment to Understand Human-Space Suit Interaction
IRCCS Fondazione Santa Lucia,41.8413174,12.5145365,Rome,IT,"Via Ardeatina 306, 00179 Rome, Italy","IRCCS Fondazione Santa Lucia is located in Rome, Italy. It has hosted 1 Whitaker International fellow (2012).",1,2012,EMG-Controlled Orthosis for Walk Empowering and Entraining Locomotor Circuits of SCI Patients
Istituto Italiano di Tecnologia (IIT) - Genoa,44.4749312,8.9064299,Genoa,IT,"Via Morego 30, 16163 Genoa, Italy","Istituto Italiano di Tecnologia (IIT) - Genoa is located in Genoa, Italy. It has hosted 1 Whitaker International fellow (2008). Fellows have been hosted within the Italian Inst. of Technology. Whitaker fellows here have worked on biomedical imaging.",1,2008,The Effect of Feedback Dimensionality on Bimanual Training
Istituto di Fisica Applicata Nello Carrara (IFAC-CNR),43.8177072,11.2004703,Sesto Fiorentino,IT,"Via Madonna del Piano 10, 50019 Sesto Fiorentino, Italy","Istituto di Fisica Applicata Nello Carrara (IFAC-CNR) is located in Sesto Fiorentino, Italy. It has hosted 1 Whitaker International fellow (2013). Whitaker fellows here have worked on ophthalmology & vision research.",1,2013,Development of Laser Welding a Synthetic Collagen Lenticule to the Cornea
Scuola Superiore Sant'Anna - BioRobotics Institute,43.6614456,10.6313886,Pisa,IT,"Viale Rinaldo Piaggio 34, 56025 Pontedera (Pisa), Italy","Scuola Superiore Sant'Anna - BioRobotics Institute is located in Pisa, Italy. It has hosted 3 Whitaker International fellows between 2013 and 2016. Fellows have been hosted within the BioRobotics Institute. Whitaker fellows here have worked across biomedical imaging, medical devices & implants, and rehabilitation & assistive technology.",3,2013–2016,Biological Friction of a Spherical Body for a Magnetically Actuated Colonoscopic Robot | Design of a bioinspired robust hand prosthesis with optimal performance | Implementation of a Myoelectric Postural Controller using a Multifunction Prosthetic Hand
University of Genoa,44.4148261,8.9266647,Genoa,IT,"Via Balbi 5, 16126 Genoa, Italy","University of Genoa is located in Genoa, Italy. It has hosted 3 Whitaker International fellows between 2009 and 2017. Whitaker fellows here have worked across neural engineering & neuroscience, biomedical imaging, and rehabilitation & assistive technology.",3,2009–2017,Neural mechanisms supporting sensory substitution in stroke survivors with proprioceptive deficits | Synthetic sensory feedback to enhance motor control in stroke survivors with proprioceptive deficits | Translational Neuroengineering: From In-Vitro to In-Vivo Electrophysiology
University of Palermo,38.1174347,13.3700307,Palermo,IT,"Piazza Marina 61, 90133 Palermo, Italy","University of Palermo is located in Palermo, Italy. It has hosted 1 Whitaker International fellow (2015). Whitaker fellows here have worked on biomedical imaging.",1,2015,Fluid Mechanics Assessment of Tri-leaflets Electrospun with Physiological Structure and Function
University of Pavia,45.188315,9.1512392,Pavia,IT,"Piazza Botta Adorno 6, 27100 Pavia, Italy","University of Pavia is located in Pavia, Italy. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked across cardiovascular engineering, biomedical imaging, and computational modeling & systems biology.",1,2012,Engineering the vascular niche: Development of a basement membrane model for studying megakaryopoiesis and platelet production in vitro
University of Rome Tor Vergata,41.852165,12.6293294,Rome,IT,"Via Cracovia 50, 00133 Rome, Italy","University of Rome Tor Vergata is located in Rome, Italy. It has hosted 1 Whitaker International fellow (2011).",1,2011,
University of Trieste,45.6595455,13.7947478,Trieste,IT,"Piazzale Europa 1, 34127 Trieste, Italy","University of Trieste is located in Trieste, Italy. It has hosted 1 Whitaker International fellow (2010). Whitaker fellows here have worked on cardiovascular engineering and biomedical imaging.",1,2010,Development of 3D Echocardiographic Particle Image Velocimetry for Assessment of Right Ventricular Function
University of Turin,45.0696528,7.6890517,Turin,IT,"Via Giuseppe Verdi 8, 10124 Turin, Italy","University of Turin is located in Turin, Italy. It has hosted 1 Whitaker International fellow (2017). Whitaker fellows here have worked on biomedical imaging.",1,2017,The Impact of Fatigue Loading on the Microstructural Organization of Polycarbonate Polyurethane
"Institute for Frontier Life and Medical Sciences, Kyoto University",35.0188982,135.7734696,Kyoto,JP,"Shogoin Kawaracho, Sakyo Ward, Kyoto 606-8397, Japan","Institute for Frontier Life and Medical Sciences, Kyoto University is located in Kyoto, Japan. It has hosted 1 Whitaker International fellow (2010).",1,2010,How similar are iPSCs and ESCs? Pluripotency and differentiation capacity.
Osaka University,34.8208853,135.5228708,Osaka,JP,"1-1 Yamadaoka, Suita, Osaka 565-0871, Japan","Osaka University is located in Osaka, Japan. It has hosted 1 Whitaker International fellow (2012). Whitaker fellows here have worked on biomedical imaging.",1,2012,Structural Studies of Reengineered Flagellin a possible T cell Independent-Antigen
